x,y
/data/ILRW/18/18_top/0_18_01_0022.png,1
/data/ILRW/07/07_top/0_07_07_0008.png,4
/data/ILRW/15/15_top/0_15_16_0006.png,3
/data/ILRW/15/15_top/0_15_17_0014.png,1
/data/ILRW/02/02_top/0_02_18_0130.png,2
/data/ILRW/23/23_top/0_23_06_0055.png,4
/data/ILRW/03/03_top/0_03_06_0260.png,4
/data/ILRW/07/07_top/0_07_09_0152.png,4
/data/ILRW/06/06_top/0_06_10_0030.png,4
/data/ILRW/17/17_top/0_17_17_0030.png,2
/data/ILRW/09/09_top/0_09_04_0074.png,2
/data/ILRW/21/21_top/0_21_05_0120.png,1
/data/ILRW/25/25_top/0_25_12_0076.png,0
/data/ILRW/21/21_top/0_21_07_0061.png,1
/data/ILRW/04/04_top/0_04_09_0082.png,0
/data/ILRW/07/07_top/0_07_14_0036.png,0
/data/ILRW/19/19_top/0_19_02_0049.png,0
/data/ILRW/03/03_top/0_03_05_0178.png,2
/data/ILRW/06/06_top/0_06_07_0044.png,3
/data/ILRW/09/09_top/0_09_01_0016.png,2
/data/ILRW/04/04_top/0_04_07_0366.png,4
/data/ILRW/08/08_top/0_08_10_0069.png,1
/data/ILRW/19/19_top/0_19_06_0123.png,0
/data/ILRW/25/25_top/0_25_18_0040.png,1
/data/ILRW/04/04_top/0_04_06_0447.png,4
/data/ILRW/05/05_top/0_05_17_0003.png,3
/data/ILRW/06/06_top/0_06_02_0449.png,4
/data/ILRW/13/13_top/0_13_16_0030.png,2
/data/ILRW/18/18_top/0_18_11_0076.png,1
/data/ILRW/03/03_top/0_03_18_0086.png,1
/data/ILRW/03/03_top/0_03_08_0059.png,2
/data/ILRW/07/07_top/0_07_02_0088.png,0
/data/ILRW/03/03_top/0_03_05_0476.png,2
/data/ILRW/19/19_top/0_19_12_0018.png,0
/data/ILRW/09/09_top/0_09_07_0099.png,3
/data/ILRW/04/04_top/0_04_07_0189.png,4
/data/ILRW/03/03_top/0_03_04_0521.png,2
/data/ILRW/17/17_top/0_17_06_0086.png,1
/data/ILRW/20/20_top/0_20_05_0031.png,3
/data/ILRW/14/14_top/0_14_14_0075.png,3
/data/ILRW/04/04_top/0_04_02_0279.png,4
/data/ILRW/03/03_top/0_03_01_0101.png,0
/data/ILRW/12/12_top/0_12_06_0015.png,0
/data/ILRW/08/08_top/0_08_09_0032.png,2
/data/ILRW/06/06_top/0_06_03_0283.png,2
/data/ILRW/02/02_top/0_02_06_0511.png,3
/data/ILRW/03/03_top/0_03_10_0084.png,4
/data/ILRW/25/25_top/0_25_17_0073.png,0
/data/ILRW/23/23_top/0_23_05_0085.png,0
/data/ILRW/25/25_top/0_25_05_0032.png,0
/data/ILRW/14/14_top/0_14_08_0038.png,3
/data/ILRW/10/10_top/0_10_14_0037.png,0
/data/ILRW/17/17_top/0_17_04_0014.png,1
/data/ILRW/23/23_top/0_23_07_0080.png,0
/data/ILRW/02/02_top/0_02_05_0003.png,3
/data/ILRW/19/19_top/0_19_11_0014.png,1
/data/ILRW/06/06_top/0_06_11_0107.png,1
/data/ILRW/21/21_top/0_21_04_0019.png,1
/data/ILRW/04/04_top/0_04_13_0095.png,4
/data/ILRW/08/08_top/0_08_02_0065.png,3
/data/ILRW/19/19_top/0_19_12_0082.png,0
/data/ILRW/03/03_top/0_03_08_0240.png,2
/data/ILRW/14/14_top/0_14_08_0009.png,3
/data/ILRW/11/11_top/0_11_02_0011.png,2
/data/ILRW/07/07_top/0_07_04_0048.png,0
/data/ILRW/16/16_top/0_16_02_0046.png,3
/data/ILRW/04/04_top/0_04_16_0101.png,0
/data/ILRW/02/02_top/0_02_05_0049.png,3
/data/ILRW/15/15_top/0_15_18_0056.png,4
/data/ILRW/02/02_top/0_02_02_0345.png,4
/data/ILRW/05/05_top/0_05_02_0227.png,1
/data/ILRW/20/20_top/0_20_04_0065.png,3
/data/ILRW/11/11_top/0_11_02_0049.png,2
/data/ILRW/04/04_top/0_04_06_0360.png,4
/data/ILRW/17/17_top/0_17_01_0062.png,1
/data/ILRW/02/02_top/0_02_11_0143.png,3
/data/ILRW/25/25_top/0_25_06_0076.png,3
/data/ILRW/17/17_top/0_17_06_0020.png,1
/data/ILRW/11/11_top/0_11_15_0079.png,0
/data/ILRW/15/15_top/0_15_05_0055.png,3
/data/ILRW/23/23_top/0_23_09_0085.png,1
/data/ILRW/17/17_top/0_17_10_0074.png,2
/data/ILRW/25/25_top/0_25_13_0026.png,2
/data/ILRW/21/21_top/0_21_10_0033.png,0
/data/ILRW/09/09_top/0_09_17_0042.png,2
/data/ILRW/09/09_top/0_09_07_0050.png,3
/data/ILRW/09/09_top/0_09_02_0010.png,4
/data/ILRW/22/22_top/0_22_05_0037.png,3
/data/ILRW/18/18_top/0_18_08_0054.png,1
/data/ILRW/02/02_top/0_02_06_0331.png,3
/data/ILRW/21/21_top/0_21_08_0102.png,0
/data/ILRW/24/24_top/0_24_01_0083.png,1
/data/ILRW/04/04_top/0_04_18_0040.png,4
/data/ILRW/02/02_top/0_02_07_0501.png,0
/data/ILRW/12/12_top/0_12_05_0072.png,4
/data/ILRW/19/19_top/0_19_12_0007.png,0
/data/ILRW/11/11_top/0_11_04_0002.png,1
/data/ILRW/06/06_top/0_06_08_0107.png,2
/data/ILRW/06/06_top/0_06_01_0043.png,3
/data/ILRW/02/02_top/0_02_05_0576.png,3
/data/ILRW/11/11_top/0_11_08_0053.png,3
/data/ILRW/06/06_top/0_06_17_0026.png,1
/data/ILRW/03/03_top/0_03_03_0258.png,3
/data/ILRW/22/22_top/0_22_09_0025.png,0
/data/ILRW/21/21_top/0_21_04_0011.png,1
/data/ILRW/16/16_top/0_16_16_0022.png,3
/data/ILRW/04/04_top/0_04_04_0458.png,4
/data/ILRW/04/04_top/0_04_07_0414.png,4
/data/ILRW/25/25_top/0_25_03_0053.png,0
/data/ILRW/03/03_top/0_03_03_0361.png,3
/data/ILRW/09/09_top/0_09_06_0109.png,4
/data/ILRW/18/18_top/0_18_10_0048.png,1
/data/ILRW/22/22_top/0_22_03_0022.png,4
/data/ILRW/22/22_top/0_22_02_0014.png,1
/data/ILRW/21/21_top/0_21_15_0037.png,4
/data/ILRW/07/07_top/0_07_03_0086.png,4
/data/ILRW/18/18_top/0_18_08_0003.png,1
/data/ILRW/03/03_top/0_03_07_0249.png,2
/data/ILRW/10/10_top/0_10_03_0042.png,3
/data/ILRW/16/16_top/0_16_16_0063.png,3
/data/ILRW/03/03_top/0_03_05_0290.png,2
/data/ILRW/05/05_top/0_05_09_0022.png,1
/data/ILRW/12/12_top/0_12_10_0009.png,4
/data/ILRW/17/17_top/0_17_03_0012.png,2
/data/ILRW/01/01_top/0_01_12_0037.png,4
/data/ILRW/07/07_top/0_07_06_0115.png,1
/data/ILRW/14/14_top/0_14_17_0001.png,2
/data/ILRW/18/18_top/0_18_13_0015.png,1
/data/ILRW/14/14_top/0_14_14_0078.png,3
/data/ILRW/10/10_top/0_10_03_0046.png,3
/data/ILRW/02/02_top/0_02_08_0420.png,4
/data/ILRW/13/13_top/0_13_06_0041.png,3
/data/ILRW/04/04_top/0_04_09_0006.png,0
/data/ILRW/23/23_top/0_23_06_0085.png,4
/data/ILRW/17/17_top/0_17_14_0001.png,1
/data/ILRW/06/06_top/0_06_03_0073.png,2
/data/ILRW/05/05_top/0_05_04_0031.png,1
/data/ILRW/03/03_top/0_03_08_0023.png,2
/data/ILRW/06/06_top/0_06_01_0114.png,3
/data/ILRW/03/03_top/0_03_06_0381.png,4
/data/ILRW/02/02_top/0_02_05_0045.png,3
/data/ILRW/13/13_top/0_13_01_0023.png,2
/data/ILRW/22/22_top/0_22_10_0031.png,0
/data/ILRW/11/11_top/0_11_13_0069.png,3
/data/ILRW/06/06_top/0_06_01_0056.png,3
/data/ILRW/13/13_top/0_13_01_0037.png,2
/data/ILRW/14/14_top/0_14_11_0013.png,3
/data/ILRW/02/02_top/0_02_12_0020.png,3
/data/ILRW/10/10_top/0_10_18_0029.png,0
/data/ILRW/20/20_top/0_20_12_0028.png,1
/data/ILRW/09/09_top/0_09_08_0098.png,0
/data/ILRW/03/03_top/0_03_04_0388.png,2
/data/ILRW/06/06_top/0_06_06_0358.png,2
/data/ILRW/23/23_top/0_23_12_0071.png,4
/data/ILRW/24/24_top/0_24_05_0041.png,2
/data/ILRW/03/03_top/0_03_03_0550.png,3
/data/ILRW/19/19_top/0_19_14_0065.png,2
/data/ILRW/10/10_top/0_10_02_0014.png,4
/data/ILRW/06/06_top/0_06_03_0089.png,2
/data/ILRW/12/12_top/0_12_14_0018.png,2
/data/ILRW/19/19_top/0_19_12_0006.png,0
/data/ILRW/07/07_top/0_07_18_0001.png,2
/data/ILRW/05/05_top/0_05_02_0149.png,1
/data/ILRW/22/22_top/0_22_05_0059.png,3
/data/ILRW/10/10_top/0_10_11_0011.png,4
/data/ILRW/13/13_top/0_13_09_0005.png,2
/data/ILRW/02/02_top/0_02_07_0131.png,0
/data/ILRW/21/21_top/0_21_09_0082.png,0
/data/ILRW/10/10_top/0_10_02_0044.png,4
/data/ILRW/02/02_top/0_02_06_0200.png,3
/data/ILRW/09/09_top/0_09_07_0015.png,3
/data/ILRW/05/05_top/0_05_03_0653.png,2
/data/ILRW/17/17_top/0_17_16_0019.png,2
/data/ILRW/03/03_top/0_03_04_0034.png,2
/data/ILRW/04/04_top/0_04_03_0341.png,4
/data/ILRW/07/07_top/0_07_04_0098.png,0
/data/ILRW/20/20_top/0_20_15_0015.png,1
/data/ILRW/25/25_top/0_25_18_0077.png,1
/data/ILRW/02/02_top/0_02_06_0198.png,3
/data/ILRW/06/06_top/0_06_04_0460.png,4
/data/ILRW/01/01_top/0_01_04_0082.png,4
/data/ILRW/16/16_top/0_16_02_0007.png,3
/data/ILRW/21/21_top/0_21_04_0050.png,1
/data/ILRW/24/24_top/0_24_14_0032.png,4
/data/ILRW/17/17_top/0_17_04_0088.png,1
/data/ILRW/21/21_top/0_21_09_0074.png,0
/data/ILRW/07/07_top/0_07_04_0076.png,0
/data/ILRW/03/03_top/0_03_01_0078.png,0
/data/ILRW/14/14_top/0_14_11_0011.png,3
/data/ILRW/06/06_top/0_06_12_0124.png,3
/data/ILRW/23/23_top/0_23_10_0048.png,0
/data/ILRW/03/03_top/0_03_05_0345.png,2
/data/ILRW/03/03_top/0_03_05_0470.png,2
/data/ILRW/15/15_top/0_15_15_0015.png,2
/data/ILRW/03/03_top/0_03_05_0238.png,2
/data/ILRW/23/23_top/0_23_15_0046.png,0
